"","comic.name","comic.summary","comic.grade"
"498","우릴 걷는 너에게","아이들만 남은 세상","9.62"
"499","용사가 되고 싶지 않아","영웅 서사 부정극","9.91"
"500","내 계절에 있어줘","널 만나서 다행이야","9.87"
"501","여긴 불빛이 안 드는 곳이야","학교 로맨스 코미디","9.84"
"502","-","-","9.87"
"503","두가지 비밀","짝남이 친구 남친","9.58"
"504","그래도 하루는","희노애락 투병일기","9.88"
"505","두번째 나에게","바디체인지 로맨스","9.73"
"506","이 결혼을 막아라","이 결혼을 막아라!","9.91"
"507","뇌명의 하라","판타지모험액션 만화","9.81"
"508","로맨스의 신","기묘한 결혼정보회사","9.47"
"509","살인교사","사람을 죽였습니다.","9.60"
"510","날개 부러진 새의 노래","타인이 되는 두남녀","9.68"
"511","페카텀","신과 사제의 이야기","9.78"
"512","바사무엘","판타지 드라마","9.87"
"513","평범한 도화살","도화살 로맨스","9.13"
"514","힝구의 견생일기","동네개들의견생라이프","9.91"
"515","도곰보와 친구들","귀여운 병맛만화","8.81"
"516","잠입! 재벌고","로맨스릴러 학교잠입","9.28"
"517","이상과 현실","일상의 철학","9.89"
"518","여우자매","연재협의중","9.90"
"519","메디오(MEDIO)","난 어디에 속하는가","9.79"
"520","어린공주","코믹 동화 판타지","9.90"
"521","문어숙희숙회","문어숙회를 위하여!","9.74"
"522","라떼는 말이야","흑역사 파티원 모집","9.74"
"523","화이트데이","너흰 그냥 친구야!!","9.23"
"524","애니메이킹","애니메이션 만들기","9.46"
"525","뼈와 재, 불의 이야기","현대 판타지","9.62"
"526","나부활","나는사람을살릴수있다","9.82"
"527","나의 섭식장애 일기","섭식장애이야기","9.91"
"528","스크롤","웹툰작가 도전기","8.06"
"529","용사·마왕·우주인","낙제 용사 이야기","9.89"
"530","천사의 학교","천사반 살아남기","9.30"
"531","출근하개","강아지같은  사장","8.89"
"532","릴리스","다크판타지","9.48"
"533","촌스러운 그들","촌스러운 그들","9.66"
"534","하이스쿨 콤플렉스(마이동풍)","청춘로맨스","9.64"
"535","선녀의 신","무얼 믿으십니까?","8.55"
"536","열여섯과 스물 그 사이","툭탁 격정 로맨스","9.06"
"537","사람이라호","사람일까요","9.31"
"538","만화 임진왜란","쉽고 웃긴 임진왜란","9.77"
"539","더 휠(The wheel in the ballroom)","볼룸댄스 도전기","8.95"
"540","마법약사","포션장사하는 이야기","9.90"
"541","애플 에이지","성범죄 웹툰","9.88"
"542","괜찮아, 고3이야","너와나의 리얼고3툰","9.90"
"543","하드오피스","같은 팀 속 살인자","9.76"
"544","나도 이세계 주인공이고 싶다","이세계주인공가즈아!","8.09"
"545","한 유방암 환자 이야기","유방암 환자 이야기","9.85"
"546","더티 헬","서부극 액션 활극","9.64"
"547","마샤의 인형","소녀와인형의 이야기","9.86"
"548","등교하는 근식이","목숨을 건 개근일기","9.90"
"549","도와줘요 사신님!","인간 되기 싫어요","9.57"
"550","행복을 만드는 방법","집착감금물","9.83"
"551","용아","능력자 판타지","8.94"
"552","뿌리네 이야기","매일 가족 명랑 만화","9.77"
"553","꿈바꼭질","목숨을 건 숨바꼭질","9.88"
"554","너나들이","20대남녀연애이야기","9.87"
"555","그래도 행성은 돈다","자전이랑 공전한다","9.28"
"556","비행소년","나의 첫 친구들","9.89"
"557","기억지도","한국근현대 SF물","9.65"
"558","미스터리 록앤 시트러스","락하고 싶어요","9.68"
"559","천년나무 그늘에는 도깨비가 있다","현대 판타지 로맨스","9.48"
"560","굥이의 하루","굥이의 하루","9.67"
"561","직업 : 며느리","직접 겪은 에피소드","9.54"
"562","미친 공작을 길들여버렸다","여주가 짱인 로판","8.65"
"563","아무도 믿지마","두뇌 심리게임","9.82"
"564","이거 내 일상","자라나는 20대 삶","9.80"
"565","F I X","타임리프호러","9.34"
"566","소극적 인간","드라마 스릴러","9.62"
"567","월하의 검","요괴잡이남매의이야기","9.73"
"568","마왕이 되는 방법","자유연재","9.84"
"569","마귀","스릴러 액션","9.63"
"570","코엑시스트","로맨스 스릴러","8.72"
"571","엄마! 아빠랑 결혼하지마!!","난 이 결혼 반대!","8.25"
"572","나랑노랑~이제는 괜찮은 이야기","이젠 괜찮은 이야기","9.91"
"573","신세기 단편 동화","감성 스토리","9.88"
"574","망했다 튀어라","만화","9.83"
"575","골짜기","미스터리 단편선","9.53"
"576","밤을 거둔 신기루는","부적 남주 쟁취기","9.87"
"577","대공녀는 거기에 없었다","가상중세시대물","9.72"
"578","의자왕 체어맨","청춘 로오망 액-쑌","9.43"
"579","남쪽의 생존자","외계인vs인류 전쟁","8.04"
"580","엑스텐","매주 토요일 연재","9.86"
"581","행복을 찾다.","아마 순정만화","9.62"
"582","당신의 꿈속으로 입장합니다","한달살기 로맨스","8.85"
"583","용사 성장 프로젝트","용사 키우는 마왕","9.76"
"584","캐스팔루크","카페 판타지","9.79"
"585","新조선왕조실록","조선왕조인계자이야기","9.83"
"586","틈","틈을파고드는 이야기","9.85"
"587","손 안의 너","정체불명 미니사이즈","9.83"
"588","수누로그","수누의 기록","9.61"
"589","땅거미들","미아들의 생존일지","9.70"
"590","소녀와 동박새","소동을 피우다.","9.71"
"591","몬스터 커맨더F","몬스터 판타지","9.86"
"592","케어시트","청춘 동아리 로맨스","9.70"
"593","판타지 TV","판타지 인터넷방송","9.53"
"594","나락","나락으로 갈수없어","9.03"
"595","스토커의 하루","여자 스토커의 사랑","9.69"
"596","중간계 사우나","힐링 러브코미디","9.81"
"597","맛있는 남자","핥지마","9.88"
"598","망탁","호러 액션 느와르","9.48"
"599","모노톤 책꽂이","로맨스 단편집","9.29"
"600","검은 늑대","검은 늑대이야기","9.87"
"601","나의 스위치 메이트","바디체인지 로맨스","9.89"
"602","프로탈출러","추리,탈출,꿈","9.44"
"603","팔천의 독","동양 판타지 수사물","9.47"
"604","콩닥콩닥어린이집","어린이집이야기♥","9.91"
"605","BBT","붐박스 트레일러","8.37"
"606","지나온 길","학원 성장 드라마","9.39"
"607","사서고생!","어른이 되고 싶어!","9.74"
"608","서울신이전","삼천갑자동방삭의후손","9.52"
"609","열쇠의 용사 카이제루스","합체 준비 됐습니까","9.59"
"610","리플렉션","차원이동 판타지","9.37"
"611","수능0등급","고3 vs 테러범","9.09"
"612","피오키노","악마와 소년","9.67"
"613","오늘은 비","성장 로맨스","9.87"
"614","오픈 오전 11시","홍대 라이프","9.64"
"615","위닝샷!","청춘 야구 드라마","9.72"
"616","이세계 국밥 마스터","그 돈이면 국밥먹지","9.65"
"617","구나의 그랬구나","어린이집 교사냥이","9.89"
"618","고란툰","고란이의 일상이야기","8.57"
"619","거울 공주","순정만화","9.84"
"620","쿤도덥브라더스","랜선 집사 모집!!","9.88"
"621","전지적 악녀 시점","썸네일 주인공 아님","8.88"
"622","오늘을 담다.","도시락 일상이야기","9.89"
"623","우주n은하","우주에서 온 소녀들","9.87"
"624","자갈과 돌멩이",".","9.79"
"625","인문학 거저보기 ~서양철학편~","서양철학자 TMI","9.88"
"626","랑데뷰","시트콤 로맨스","9.89"
"627","밝은미래","과거로 돌아가는","9.82"
"628","루머의 법칙","캠퍼스 로맨스","9.77"
"629","짐승의 이빨처럼","작수를 죽인다.","8.09"
"630","올림포스 랩소디","제우스의 첫사랑","9.73"
"631","오십미터","오십미터","9.50"
"632","버스터즈!","이능력 범죄 소탕","9.61"
"633","울트라 바이올렛","공대생vs뱀파이어","9.78"
"634","사는 게 이게 모양?!","모양이와 일상생존기","9.75"
"635","프롬헬 용병단","할렘가 용병단 일상","9.31"
"636","채식주의자의 애완채소","스릴러, 리메이크중","9.86"
"637","탑스피드","로드 사이클","9.49"
"638","테이커","17살의 킬러","9.84"
"639","홀","구멍 속으로..","9.64"
"640","비기보이즈","패션브랜드 만들기!","8.75"
"641","혼자앤피스","일상이야기","9.68"
"642","낯가리는 관종","낯가리는 관종일기","9.83"
"643","사지선다","정답을 고르시오.","9.78"
"644","달에게서 소년에게","달으로 떠난 소년","9.44"
"645","두남자일기","평범한 동거","9.63"
"646","1인칭 외국인 시점","SOSO 프랑스생활","9.90"
"647","생존일지","사람들의 이야기","9.86"
"648","신군","하드보일드소년판타지","8.96"
"649","행운을 부르는 고양이씨","일상 판타지","9.87"
"650","식사하시라요","개성, 미슐랭☆☆☆","9.23"
"651","아이엠","파란만장아이돌라이프","9.61"
"652","신","인간이 되어버린 신","9.68"
"653","포-갓","열심히 일하는 신","9.90"
"654","이석의 맨숀","눈 떠보니 건물주!","9.22"
"655","템플러","퇴마물 엑소시스트","9.36"
"656","내과 박원장","의사가그린 의사만화","9.85"
"657","동글앤토실","19년 묵은 커플","9.87"
"658","신과 인간","신과 인간의 이야기","9.89"
"659","두꺼비집","가출청소년공포스릴러","9.75"
"660","헥세","마녀, 그리고 갱","8.91"
"661","스프린터","단편만화 모음집","9.84"
"662","모험가 용역 장씨","모험가가 된 일용직","9.80"
"663","자체공강","대학물인척하는 만화","9.86"
"664","제 소원을 들어주세요!","중요한걸 잊고있었어","9.90"
"665","도담도담","두더지 모험 힐링","9.40"
"666","스물여섯","혼자 할 수 있어!","9.46"
"667","꽃이 피는 자리","기생 식물","9.62"
"668","보충수업","바퀴벌레 소녀","9.63"
"669","냥만자객","반인반묘","9.20"
"670","포이즌캐럿","죽음도 두렵지 않은","9.35"
"671","엑스마키나","SF액션","6.81"
"672","서툴고 어리숙해도 좋아하는","내가 걜 죽였다고?","9.90"
"673","미가식당","뜨거워지는 열혈!","9.23"
"674","가온누리","저승퓨전판타지","9.15"
"675","감각의 어빌러티","-","9.86"
"676","미스터뿡","미스터 뿡의 뿡뿡뿡","9.19"
"677","식인귀","귀신이 보인다","9.59"
"678","승무원 현실 취뽀","승무원 도전 이야기","9.44"
"679","빨간맛 로맨스","미치도록 달콤한","9.85"
"680","검은유성우","동양풍 이능력물","9.83"
"681","머슬툰","근육 생기는 만화","9.15"
"682","죽는날까지","가장 나쁜 영웅","9.88"
"683","모두의 단편선","모두가함께하는웹툰","9.85"
"684","쥐인님과 나","지극히쥐덕한생활:3","9.86"
"685","공부할 시간","엘리트들의 두뇌싸움","9.83"
"686","남주만 9명?!","로맨스 판타지","9.63"
"687","하루의 하늘","삼각관계 대학생활","9.40"
"688","이탈자","사자使者와 동거동락","9.84"
"689","연애일기","소소한 연애 일상","9.90"
"690","예쁜 사나이","예쁜 사나이","9.59"
"691","잿빛악마","차기작 공지","9.85"
"692","휘게휘게: 혜날의 교환학생 라이프","덴마크 교환학생툰","9.61"
"693","타고난자","우리의 그 시절","9.59"
"694","썸라대왕","현대로맨스판타지","9.53"
"695","당할연","당신도할수있다연애","8.12"
"696","폴라로이드","사진이 만드는 인연","9.80"
"697","탄생석","능력자 판타지","9.86"
"698","발푸르기스의 너머","신과 악마의 내기","9.72"
"699","주저드","동물 마법사 이야기","9.39"
"700","클리셰","악당들의 입장에서!","9.83"
"701","닐리리맘봉","맘봉이의 하루하루","9.90"
"702","저는 용사님이 아닌데요!","마녀라고요!","9.63"
"703","그림셔틀","셔틀이 된 그림천재","9.79"
"704","그리고 이로써 차차","간판인지 병맛인지","9.22"
"705","절망 에스프레소","24시간 상담가능","9.89"
"706","이과지옥","이과 발암만화","9.75"
"707","할로윈이 끝나기 전에","매주 수요일 연재","9.89"
"708","찬란의 날","'칩'이 나타났다.","9.84"
"709","리콜 마이 라이프","내 삶을 고쳐주세요","9.69"
"710","여캠 조수희","수희의 인방 도전기","9.40"
"711","찌의일찌","찌의데일리","9.68"
"712","해피하우스","내 직업은 귀신","9.62"
"713","한 지붕 아래","다섯 바보의 이야기","9.87"
"714","AI폰 아리랑","AI폰 아리랑","9.82"
"715","방에 콕! 진댕","방에 콕! 일상툰","9.87"
"716","봄이와","육아 빙자 인생만화","9.51"
"717","무엇이든 그려드립니닷!","무엇이든그려드립니닷","9.87"
"718","사랑하는 제자들","나갈 수 없는 학교","9.66"
"719","남편 먹는 여자","남자 잡는 사주","9.65"
"720","노을지는밤","무서운 이야기를..","9.89"
"721","디바이스","게임 폐인이 게임을 통해 성장하는 이야기","9.84"
"722","Jun과 나","색있는사람들의이야기","9.89"
"723","서유신마록","삼장과오공의대모험극","9.69"
"724","이루어지리다","청춘 성장 판타지","9.67"
"725","서울크로니클 / 적우 2060년","서울크로니클","9.27"
"726","고등학교 수감기록","고삼은 존버한다","9.73"
"727","능력안경","안경장르 만화","9.90"
"728","아옹아옹","두식이 냥육일기","9.86"
"729","프레이","좀 매운 배틀물","9.67"
"730","그날, 우리들의 여름.","여고 육상 성장기","9.79"
"731","사쟈툰","사쟈를 그립니다.","8.68"
"732","백온더트랙","서른의 우리에게","8.67"
"733","저승 화랑 이야기","이승과 같은 저승","9.90"
"734","저승 화랑전","악덕 상사와 나","9.90"
"735","착한남자 김우진","20대 남자의이야기","8.27"
"736","체리 블러드","액션X판타지X로맨스","9.50"
"737","팬시x팬시","팬시 회사 로맨스!","9.65"
"738","언니가 돌아왔다","죽은언니가 돌아왔다","9.84"
"739","맹랑맘마 memory","옛날 옛날에","9.80"
"740","지몽, 선 너머의 나","운명조작히어로","9.60"
"741","그림자게임","그림자게임 3 시작","9.86"
"742","함께 할 때까지","곰신바카","9.65"
"743","찔레꽃  그너머","임진왜란과 서민의삶","9.86"
"744","메리고라운드","개그 육아 일상","9.87"
"745","블랙펄","죽지못하는 용병","9.72"
"746","햇살 주인공을 악당으로 키워버렸다","공주로 환생했다.","9.78"
"747","뫼비우스의 소설","오각관계 드라마","9.77"
"748","전염소녀","행복은 전염된다.","9.86"
"749","30일후","미래를 알게된 남자","9.59"
"750","환상의 아이들","호러판타지성장드라마","9.89"
"751","궁미일기","평범한 일상 육아","9.77"
"752","남의 사랑 이야기","조금 늦은 첫사랑","9.80"
"753","지상최강고3히어로","주인공하려는주인공","9.87"
"754","엑스트라 Z씨","Z씨의 발버둥","9.90"
"755","이상한사무실","디자인 회사 이야기","9.51"
"756","그러지 말았어야","미스터리 스릴러","9.56"
"757","미토스 리바이버","판타지 학원","9.83"
"758","운명...인가요?","나와 이어진 운명은","9.89"
"759","그날의 우리","우리들의 이야기.","9.71"
"760","네펜데스","환경 판타지 스토리","9.11"
"761","개구리툰","개구리의 일상툰","9.20"
"762","파라웨이 치킨","먼치킨알바들과사장","9.69"
"763","마물전담부대","마물을 사냥하는부대","9.89"
"764","애포칼립스","좀베창궐 문명파괴","9.10"
"765","금빛아이는 새벽을 달린다","미래를 향한 여정","9.89"
"766","오늘,응","응의 소소한 오늘","9.78"
"767","밤을 삼킨 아이","악귀 추적 스릴러","9.59"
"768","우리는 친한친구","친한친구 이야기","9.36"
"769","무존재감","[<U+200B><U+200B><U+2009><U+2009><U+2000><U+2004><U+200B><U+200B>]","9.61"
"770","박수고딩","무당 액션 활극!","9.08"
"771","타챠노트","프리랜서일기","9.81"
"772","강가네","사남매 가족 적응기","9.90"
"773","버그 트레인","NPC들의 생존기","9.84"
"774","여자 공수혁","수혁이 학원기","9.89"
"775","전송","살아있을까","9.23"
"776","심연","비윤리적인 실험","9.75"
"777","연기는 처음인데요?!","내가 연기천재였다니","9.59"
"778","그리고 아무 일도 없었다.","그녀석과 만난 이야기 학원개그로맨스","9.82"
"779","재테크는 스크루지","초보자용 재테크웹툰","9.76"
"780","너와 나의 하늘색","웹툰창작 청춘로맨스","9.69"
"781","악귀의 메아리","괴의허다 괴의혀~","9.62"
"782","사랑의 헌옷수거함","짝사랑은 이제 그만","9.74"
"783","다 정한 꿈","바라던 꿈에 갇히다","9.74"
"784","좀비랜드","좀비랜드 탈출기","9.57"
"785","팔재叭災","도사와 겨울아들","9.74"
"786","확진자Z","확진자Z","9.37"
"787","우리는한팀","어느 가족 이야기","9.08"
"788","피지 않는 꽃","너, 귀신이 보여?","9.84"
"789","오늘의 컨셉","시리즈 정식연재","9.52"
"790","포로롱 포롱","수인들의 학교생활","9.85"
"791","로맨스를 찾아줘","어디있니, 내사랑!","9.76"
"792","러브 햄츄얼리","햄지 연애 성공기","9.69"
"793","공원여행","과거로 돌아온 옹주","9.17"
"794","캐세랑세라","디스 이즈 러브!","9.89"
"795","거미의 상자","일하는악마는 피곤해","9.90"
"796","그들의 사정","피폐, 지독한 악연","9.04"
"797","빨간 고백","널 기다려","9.74"
"798","윤이나는남자","윤이나는남자","9.52"
"799","계약인싸","계약직 인싸","8.88"
"800","그녀의 시크릿 사운드","로맨스판타지","9.81"
"801","청춘갱신","#사랑#우정#성장","9.69"
"802","애쉬그레이","판타지","9.89"
"803","이승전결","영적장애 저승사자","9.69"
"804","내 열정은 최고조!","일상 에피소드!","9.56"
"805","너와 나의 몰디브","30대 연애와 결혼","9.41"
"806","지신전","12지신동양판타지","8.80"
"807","마법소년 근무일지","","9.78"
"808","(Old)악마법소녀","마법과 내뱉은 말","9.88"
"809","한 뼘 공포집","조금 찝찝한 이야기","9.65"
"810","서폿저택에 어서오세요","서폿만 사는 저택","9.87"
"811","주름진 사장님","노안 사장님의이야기","9.51"
"812","나타나주세요!","내 눈앞에!","9.54"
"813","어디사세요","맞춤형아파트프로젝트","9.82"
"814","짜이타임","부부 고양이 일상툰","9.87"
"815","자본주의가 낳은 괴물","자낳괴의 학교제패기","9.01"
"816","살인범과 산다","동네에일어난연쇄살인","9.17"
"817","타인 행성 표류기","이게 무슨 일이야","9.65"
"818","막장동화에 어서오렴! (feat.동화원정대)","막장 판타지 동화!","9.26"
"819","내 룸메이트는 마네킹","마네킹과 산다고 ?","9.81"
"820","오늘도 그래고래","힐링 미스터리 웹툰","9.83"
"821","고양이 마법학교","마법배우는 고양이들","9.80"
"822","너의 여집합","네가 없는 세상","9.86"
"823","몽글툰","백수돼지는 게임중","9.73"
"824","엑스프렌즈","이별 사연 에피소드","9.84"
"825","니사정 내사정","모든일엔 이유가있다","9.19"
"826","뿅가이","간다 간다 뿅간다","9.87"
"827","사랑하는 제자들","나갈 수 없는 학교","9.79"
"828","86'd","주방 만화","9.85"
"829","수영만화일기","저질체력,수영-하다","9.85"
"830","슬픔을 먹는 남자","성장물,감성,판타지","9.89"
"831","미줌툰","미국 줌마의 일상","9.89"
"832","무선혜드셋 정보툰!!","잡상식을 재미있게","9.89"
"833","괴물의 바다","바다로 가는 이야기","9.89"
"834","칠흑","심연의 그림자","9.49"
"835","브레인 스톰","기억들의 배틀로얄","9.88"
"836","연습생 고영신","아이돌 연습생","9.85"
"837","너는 내게","청춘 로맨스","9.89"
"838","흙수저를 위한 나라는 없다","흙수저 성장기","9.60"
"839","집에가고싶다","집곰팡이의 일상","9.90"
"840","목소리의 그늘","성우, 성장 로맨스","9.90"
"841","폭렬!! 극강초맹반","슈트액션무협포스","9.57"
"842","쓰지만 달콤해","성장 로맨스","9.13"
"843","원스 인 어 블루문","초능력은 거들 뿐","9.82"
"844","지나치게 달콤한","알바생VS아이돌","9.85"
"845","도깨비 장난","혁명 액션 판타지","9.88"
"846","나를 죽이는 방법","지워낼수 없는 후회","9.84"
"847","미용사 : LOST HERO","전직용사현직미용사!","9.72"
"848","은하!","정 식 연 재","9.88"
"849","소피아가 머리카락을 쓸어넘길 때","학원 일상 추리","9.89"
"850","픽셔너","그들의 이상한 일상","9.64"
"851","여름에 내리는 서리","2025.08.28","9.10"
"852","베이퍼 정키스","퓨처 느와르","9.35"
"853","토마","의문의 전학생","9.44"
"854","A girl like alien","외계인 같은 소녀.","9.82"
"855","뼈의 시간","병원 호러스릴러","9.77"
"856","쓰레기 성의 소녀","만화 속 세상이야기","9.90"
"857","음악의 길","퓨전 뮤직 액션","9.16"
"858","이래서 애들은","다양한장르의 거짓말","9.89"
"859","용사 신드롬!","모험 로맨스 판타지","9.59"
"860","용은 범을 잡아먹지 않는다.","용과 싸우는 소년","9.73"
"861","우리들의 우상은","무한긍정도시 탈출기","9.84"
"862","소소일기","소소한 일상","9.60"
"863","해결사","해결사를 하는 소년소녀의 일상물","9.88"
"864","달기알","달걀 닮아서 달기알.","9.88"
"865","디 언더사이즈드(THE UNDERSIZED)","고등학교농구부이야기","9.53"
"866","이름 없는 나에게","윤하와 주변 이야기","9.13"
"867","점성술사","점쟁이들 이야기","9.60"
"868","모지리전","바보 무리 기록본","9.23"
"869","자유의 경계","감옥액션스릴러","9.80"
"870","봄날의 산보","봄날에 산보하듯","9.82"
"871","타이트엔드","미식축구 만화","9.47"
"872","귀염뽀짝 애기뚱냥 뽀냥이","귀염뽀짝한 애기뚱냥","9.84"
"873","사도 신여랑傳","초 자유연재 입니다","9.50"
"874","츤데레","남정네 넷의 츤츤","9.87"
"875","래빗 콤바치!","주짓떼라 생활툰","9.65"
"876","한국 프로야구사","프로야구 역사만화","9.54"
"877","루커피쳐","꿈이 뭐예요?","9.89"
"878","달콩달콩 일상","바카와 호두","9.82"
"879","도례 (道禮)","초능력의 기원","8.78"
"880","얼어붙은 아로와향기","청춘들의 쿨 로맨스","8.84"
"881","39℃","꿈을 이루는 끈기","7.87"
"882","CAFE_쉬어가게","누구나 쉬어가는 곳","9.78"
"883","천사는 야옹","고양이가 사실 천사","9.90"
"884","업사이클 다이어리","버리면 애물단지 손대면 나만의 예술작품","9.68"
"885","누나 한입만화","4컷 일상 먹툰","9.90"
"886","나는 부활 마법을 가졌다","부활판타지","9.85"
"887","좀비가 된 세상에서 마법사는","좀비와 마법사","9.32"
"888","너어는지인짜","당근 맛집","9.68"
"889","왕립 루브리카 종합학원","판타지학원물","9.90"
"890","싸카소녀","소녀들의 스뽀오츠!","9.84"
"891","악인","현대판타지 스릴러","9.77"
"892","야귀록","귀신과 사람이야기","9.75"
"893","어쩌다 보니 용사가","용사가 허접 쩌리?","9.64"
"894","개인적인택시","음악이 흐르는 택시","9.89"
"895","비공략 캐릭터를 공략하는 방법","게임캐를 공략하라!","9.25"
"896","아수라게이트","아수라 죽이기","9.46"
"897","빨간 물고기","엄마에 대한 애증","9.89"
"898","달맞이꽃","동양판타지","9.82"
"899","용사님이시다","정통 판타지 만화?","9.85"
"900","풋내기들","청춘하숙 로맨스","9.53"
"901","이상징후(異常徵候)","초능력이 아닙니다.","9.85"
"902","꽃밭에서","잊어버린 것","9.87"
"903","웨일즈","인어와 인어사냥꾼","9.90"
"904","똥두","사춘기 소녀의 일상","9.69"
"905","망생이 전투","기계가 일해주는줄","9.67"
"906","흐르는 바닷불처럼","해귀에게서 살아남기","9.78"
"907","날것","해묵은 그림 일기장","8.84"
"908","처음이잖아","괜찮아. 처음이잖아","9.53"
"909","저주와 별가루","저주와 별가루","9.75"
"910","상그미상","일상툰!","9.88"
"911","엔드시즌","초딩들의 야구","9.57"
"912","겨까게 사랑한다","반려묘와자취라이프","9.49"
"913","판타스틱 시니어","로라의 성장","9.88"
"914","번혼","용이 되어라!","9.11"
"915","오마이갓","신을 뽑는 오디션","9.58"
"916","이웃집 유부녀","일상툰","9.90"
"917","여기야! 헤드볼 빌리지","헤드볼친구들의대모험","8.96"
"918","쌍둥이부부일기","똑닮은 가족 일기","9.87"
"919","꿈무덤","꿈 속의 이야기","9.82"
"920","오늘밤 야식을 먹는다","오늘밤 야식 어때?","9.45"
"921","일주일 지구체험","외계인과의 일주일","9.78"
"922","베트남 프렌즈 여행기","여행장려웹툰","9.86"
"923","할짝 심리학","심리학 겉핥기","9.88"
"924","냥만연애툰","귀욤뽀짝 개그일상툰","9.54"
"925","52번지 몬스터","설렘살벌 로맨스릴러","9.61"
"926","과한가족","조금 과한 그들","9.88"
"927","웰시네 부부에세이","삶 그림에세이","9.59"
"928","별의아씨","-","9.59"
"929","무대에 서지 않지만 배우입니다","배우 지망생 이야기","9.85"
"930","성장통 소나타","예체능 로맨스","9.89"
"931","불편해요, 선배님!","캠퍼스 로맨스","9.90"
"932","안녕 톡톡","안녕하세요","8.95"
"933","무인도 Vlog","무인도 생존Vlog","8.83"
"934","양치기 소년","당신의 거짓말","9.78"
"935","솔직히 말해서","로맨스판타지개그만화","9.67"
"936","중등 생활 보고서","현실 중딩 보고서","8.99"
"937","바람과 소원","꿈을 위해서라면","9.81"
"938","아파트용사","아싸인생 이세계로!","9.43"
"939","쏘 판타지","So fantasy","9.87"
"940","컷","NG없인 성장도없다","9.66"
"941","어느 남고생의 하루","말하는강아지가사실은","9.88"
"942","은해갑을깝치","은해갑/깝치을","9.24"
"943","악마의 육아일기","따뜻한 이야기","9.83"
"944","유진의 환상특급열차","유진의 여행기","9.88"
"945","킬러5","다섯 명의 킬러들","9.83"
"946","이 몸은 신이니라!","카이즈","9.62"
"947","룩앤미","아름다움의 가치","9.53"
"948","헬로사이공","따뜻한 이야기들","9.88"
"949","모야툰","모야의 일상","9.68"
"950","살문 (殺門)","살인과 관상","9.67"
"951","잠자던 숲속의 공주","잠자던 공주 귀환기","9.66"
"952","포도나무 소녀","포도나무","9.77"
"953","가면","욕망 판타지","9.52"
"954","바람과 소원(구: 바람을 실은 메아리)","꿈을 위한 거짓말을","9.49"
"955","좋운날","좋운날 보내셨나요?","9.90"
"956","여행 다운","TMI 여행일지","9.87"
"957","아빠 내일은 뭐하고 놀까?","조금은 특별한 아버지와 아들의 이야기","9.77"
"958","따뜻한 나의 코코","우리들을 위한 이야기","9.89"
"959","하임의 서재","비블리오 판타지","9.89"
"960","언데드의사 김해골","던전의 몬스터의사 김해골","9.90"
"961","이상한 낙원의 넬리쉬","이세계? 이상세계!","9.71"
"962","A - STUDENT(모범생)","사악한 본성","9.61"
"963","두 개의 무덤을 팠다","그날의 복수를 위해","9.89"
"964","20&21세기남매","9살차남매일상툰!","9.61"
"965","알콜일기","취할것같은 이야기!","9.88"
"966","선선한 이야기","선선한 하루 되세요","9.66"
"967","부사관 후보생, 유아미!","청춘성장드라마","9.05"
"968","이온","☆★☆★","9.73"
"969","여의도","여의도 좀비서바이벌","9.74"
"970","설레이는 나날","고양이 반려일상!","9.83"
"971","후르츠렌즈!","과일들중인연찾기!","9.79"
"972","웹툰왕","웹툰 작가 도전기","8.88"
"973","연애문학","옆집 사는 소설가","9.56"
"974","두 번째 문리버","은퇴한 피겨선수","9.78"
"975","달의 문지기(휴재)","달토끼 이야기","9.36"
"976","메멘토모리","죽음을 기억하라!","9.86"
"977","아틀레냐","치유계 판타지(完)","9.87"
"978","어른이","어른이 되어가는 중","9.68"
"979","공허의 숲","공허에 잡아먹히다.","9.53"
"980","프러미스 : 증오의 찬가",".","9.42"
"981","스푸키 멜로디","악몽 동화 이야기","9.88"
"982","국밥왕","그것이 국밥이니까.","8.73"
"983","스크럼블 에그!","농촌 판타지 시트콤","9.83"
"984","도사님 도사님","사주 드라마","9.25"
"985","벨시토","추억과 환상.","9.77"
"986","플라시버","믿음대로 될지어다!","8.68"
"987","모솔탈출 일대기","모쏠 탈출 일대기!","9.65"
"988","이별의 플라시보","어른의 로맨스","9.77"
"989","가라사대","종교개그일상","9.64"
"990","3인3색 세쌍둥이","리얼삼둥이의개그일상","9.83"
"991","달리자, 콜롬비아!","콜롬비아로 떠나자!","9.74"
"992","가족같은회사","완결","9.87"
"993","바이러스 X","각성자,생존,능력물","9.48"
"994","아파지는 중입니다","청춘남녀 성장로맨스","9.74"
"995","너머의 항하사","육도퇴마소년판타지","9.78"
"996","이리(iri)","격주 일요일","9.45"
"997","STONE AGE","스릴러 판타지","9.89"
"998","곤충전","판타지","9.86"
"999","덴큐","끝나지 않은 이야기","9.72"
"1000","화분","그런 세상 이야기","9.92"
"1001","돌레인더시티","본격 여행가는 만화","9.83"
"1002","아재소녀","시즌2 !!","9.72"
"1003","하아의 하루","강아지 일상툰!","9.77"
"1004","노바","코지 미스테리 로판","9.83"
"1005","사업왕 심길후","사업왕 심길후","9.65"
"1006","인생은 너울너울","전직 항해사 일기","9.65"
"1007","나의 수상한 행성","0229*","9.84"
"1008","무지개다리 파수꾼","동물의 말이 들린다","9.74"
"1009","골신 파람","新 무림 세계","8.95"
